Manufacturer,Model,Form factor,Smartphone?,Year,Graph (million units),Graph (million units).1
Samsung,Galaxy J2 Core,Touchscreen,Yes,2018,15.2[19],
Nokia,5610 XpressMusic,Slider,No,2007,15[5],
Nokia,5800 XpressMusic,Touchscreen,Yes,2008,15[5],
Nokia,E71,Keyboard bar,Yes,2008,15[5],
Sony Ericsson,K300 (K310),Bar,No,2004,15[30][51],
Sony Ericsson,K750,Bar,No,2005,15[30],
Sony Ericsson,W800 (W810),Bar,No,2006,15[30][51],
Research In Motion (RIM),BlackBerry Pearl,Bar,Yes,2006,15[30],
Xiaomi,Redmi Note 9 Pro,Touchscreen,Yes,2020,15[42],
Samsung,"Galaxy S21, Galaxy S21+ and Galaxy S21 Ultra",Touchscreen,Yes,2021,13.5[40],
Motorola,Droid Bionic,Touchscreen,Yes,2011,13[30],
LG,Cookie (KP500),Touchscreen,No,2009,13[52][53],
Huawei,Mate 30 and Mate 30 Pro,Touchscreen,Yes,2019,12[54],
Samsung,Galaxy S22 Ultra,Touchscreen,Yes,2022,10.9[55][56],
Samsung,SGH-E700,Flip phone,No,2003,10[57],
Nokia,N95,Slider,Yes,2007,10[58],
LG,Shine,Slider,No,2008,10[59],
Samsung,Star/Tocco Lite (S5230),Touchscreen,No,2009,10[60],
Samsung,Galaxy Note,Touchscreen,Yes,2011,10[61][62],
Xiaomi,Mi 2,Touchscreen,Yes,2012,10[63],
Samsung,Galaxy Note 3,Touchscreen,Yes,2013,10[64],
LG,G3,Touchscreen,Yes,2014,10[65][66][67],
Samsung,Galaxy Note 8,Touchscreen,Yes,2017,10[68],
Xiaomi,Redmi 6A,Touchscreen,Yes,2019,10[69],
Samsung,Galaxy S20 FE,Touchscreen,Yes,2020,10[70][71],
Oppo,A5,Touchscreen,Yes,2019,9.7[69],
Samsung,Galaxy Note 9,Touchscreen,Yes,2018,9.6[68],
Samsung,Galaxy A30,Touchscreen,Yes,2019,9.2[69],
Xiaomi,Redmi 8A,Touchscreen,Yes,2019,7.3[20],
Oppo,F1 Plus,Touchscreen,Yes,2016,7[72],
Xiaomi,Redmi 8,Touchscreen,Yes,2019,6.8[20],
Samsung,Galaxy J4+,Touchscreen,Yes,2018,6.4[73],
Apple,iPhone,Touchscreen,Yes,2007,6[74],
LG,Viewty (KU990),Bar,No,2007,5[75],
Samsung,Galaxy J6+,Touchscreen,Yes,2018,4.9[73],
Samsung,Galaxy Note 4,Touchscreen,Yes,2014,4.5[76],
Samsung,Galaxy A10s,Touchscreen,Yes,2019,3.9[73],
Samsung,Galaxy A30s,Touchscreen,Yes,2019,3.4[73],
Nokia,N-Gage,Taco,Yes,2003,3[5],
LG,G2,Touchscreen,Yes,2013,3[77][78],
LeTV,LeEco Le 1s,Touchscreen,Yes,2016,3[79][80],
Google,Pixel and Pixel XL,Touchscreen,Yes,2016,2.1[81],
Palm,Centro,Keyboard bar,Yes,2007,2[82],
Nokia,N97,Tilt slider,Yes,2009,2[5],
