Sl,Category,SubCategory,Name,Address,Phone1,Phone2,Phone3,Email,City
22,ঢাকা বিভাগ,সেল,আগারগাঁও সেল,"১২২ (ডি-১), সর্দার টাওয়ার, তালতলা, ঢাকা-১২০৭",+8801870725915,,,agargaon@quantummethod.org.bd,ঢাকা
23,ঢাকা বিভাগ,সেল,আফতাবনগর প্রি-সেল,"বাসা#৫৩, (২য় তলা), রোড#১, ব্লক#এ, আফতাবনগর, বাড্ডা, ঢাকা-১২১২",+8801674640702,+8801309030508,,,ঢাকা
24,ঢাকা বিভাগ,সেল,তেজগাঁও সেল,"বাড়ি#১৩২, (২য় তলা), ব্যাংকার্স রোড, পশ্চিম নাখালপাড়া, তেজগাঁও, ঢাকা-১২১৫",+8801937704480,+880248120974,+8801329746658,tejgaon@quantummethod.org.bd,ঢাকা
25,ঢাকা বিভাগ,সেল,দক্ষিণ বনশ্রী সেল,"বাসা#৯০, (২য় তলা), রোড#২০, ব্লক#কে, দক্ষিণ বনশ্রী, ঢাকা-১২১৯",+8801713084386,+8801329746619,,southbanasree@quantummethod.org.bd,ঢাকা
26,ঢাকা বিভাগ,সেল,নিউমার্কেট সেল,"৫৫, এলিফ্যান্ট রোড, নিউমার্কেট, ঢাকা-১২০৫",+8801711224928,+88028615045,+8801329746638,newmarket@quantummethod.org.bd,ঢাকা
27,ঢাকা বিভাগ,সেল,বারিধারা-জোয়ার সাহারা সেল,"ক-২১, (নিচ তলা), শহিদ ফজলুল হক সড়ক, জোয়ার সাহারা, ঢাকা-১২২৯",+8801970010081,+8801919304930,+8801329746639,baridhara_joarshahara@quantummethod.org.bd,ঢাকা
28,ঢাকা বিভাগ,সেল,শাহজাদপুর সেল,"গ-৭/৩, আল-জান্নাহ্ বিল্ডিং, (২য় তলা), শাহাজাদপুর, গুলশান, ঢাকা-১২১২",+8801711151769,+8801623927727,+8801329746628,shahjadpur@quantummethod.org.bd,ঢাকা
29,ঢাকা বিভাগ,সেল,শ্যামলী সেল,"বাড়ি#২৪/১-এ/খ, (২য় তলা), খিলজী রোড, শ্যামলী, ঢাকা-১২০৭",+8801329746624,,,shyamoli@quantummethod.org.bd,ঢাকা
30,ঢাকা বিভাগ,সেল,সেনপাড়া সেল,"বাড়ি-৪১৯ (নিচ তলা), সেনপাড়া পর্বতা, মিরপুর, ঢাকা-১২১৬",+8801761875327,+8801870725918,+8801329746640,senpara@quantummethod.org.bd,ঢাকা
31,চট্টগ্রাম বিভাগ,সেন্টার,চট্টগ্রাম সেন্টার,"'বদরে মহল', বাসা#৬৬, (নিচতলা), রোড#৬, ও আর নিজাম রোড আ/এ, চট্টগ্রাম-৪২০৩",+8801711393010,+880312552009,+8801329746700,chittagong@quantummethod.org.bd,চট্টগ্রাম
32,চট্টগ্রাম বিভাগ,শাখা,অক্সিজেন শাখা,"মহিউদ্দিন ভিলা, (৪র্থ তলা), অক্সিজেন মোড়, অক্সিজেন, চট্টগ্রাম-৪১০০",+8801762223388,+8801329746711,,oxygen@quantummethod.org.bd,চট্টগ্রাম
33,চট্টগ্রাম বিভাগ,শাখা,আগ্রাবাদ শাখা,"'বানু কুটীর', ২৩৪৭, পূর্ব বেপারী পাড়া, আগ্রাবাদ, চট্টগ্রাম-৪১০০",+8801886210880,+8801817210880,+8801329746701,agrabad@quantummethod.org.bd,চট্টগ্রাম
34,চট্টগ্রাম বিভাগ,শাখা,কাজীর দেউড়ী শাখা,"'কাজী বাড়ি', কাজীর দেউড়ী, চট্টগ্রাম-৪০০০",+8801319043228,+880312867538,+8801329746707,kazir-dewri@quantummethod.org.bd,চট্টগ্রাম
35,চট্টগ্রাম বিভাগ,শাখা,চান্দগাঁও শাখা,"হাবিলান, বাড়ী নং#৭০, (নিচতলা), রোড#৪, ব্লক#বি, চান্দগাঁও আ/এ, চট্টগ্রাম-৪২১২",+8801752332561,+8801329746702,,chandgaon@quantummethod.org.bd,চট্টগ্রাম
36,চট্টগ্রাম বিভাগ,শাখা,হালিশহর শাখা,"বাড়ি#৮, লেন#২, সড়ক#৪, গেইট#৬, ব্লক#কে, হালিশহর হাউজিং এস্টেট, হালিশহর, চট্টগ্রাম-৪২১৬",+8801858711693,+8801749205775,+8801329746705,halishahar@quantummethod.org.bd,চট্টগ্রাম
37,চট্টগ্রাম বিভাগ,সেল,ও আর নিজাম রোড সেল,"বাড়ী#৬৬, রোড#৬, ও আর নিজাম রোড আ/এ, চট্টগ্রাম-৪২০৩",+8801715878780,+8801329746710,,ornizam@quantummethod.org.bd,চট্টগ্রাম
38,চট্টগ্রাম বিভাগ,সেল,কাতালগঞ্জ সেল,"স্কলার্স স্কুল এন্ড কলেজ, বাসা#২০, রোড#৩, কাতালগঞ্জ আ/এ, চট্টগ্রাম-৪২০৩",+8801819853421,+8801710789229,+8801329746706,katalgonj@quantummethod.org.bd,চট্টগ্রাম
39,চট্টগ্রাম বিভাগ,সেল,কোতোয়ালী সেল,"লতিফ ভিলা, (নিচতলা), গুর্খা ডা. লেইন, পাথরঘাটা, কোতোয়ালী, চট্টগ্রাম-৪৩০০",+8801842321877,+8801743824624,+8801329746709,kotowali@quantummethod.org.bd,চট্টগ্রাম
40,চট্টগ্রাম বিভাগ,সেল,খুলশী সেল,"বাড়ি#১১, রোড#২, আব্দুল মালেক সড়ক, দক্ষিণ খুলশী, চট্টগ্রাম-৪১০০",+8801712147021,+8801726576376,+8801329746708,khulshi@quantummethod.org.bd,চট্টগ্রাম
41,চট্টগ্রাম বিভাগ,সেল,চকবাজার সেল,"৪৭, ড. মোহাম্মদ সালেহ উদ্দিন আহমেদের বাড়ি, চটেশ্বরী রোড, চকবাজার, চট্টগ্রাম-৪২০৩",+8801729099086,+8801862645664,+8801329746703,chawkbazar@quantummethod.org.bd,চট্টগ্রাম
42,চট্টগ্রাম বিভাগ,সেল,দেওয়ান বাজার সেল,"হানিফ টাওয়ার, (২য় তলা), নবাব সিরাজদ্দৌলা রোড, চন্দনপুরা, চট্টগ্রাম-৪১০০",+8801717275030,+8801822272381,+8801329746704,dewanbazar@quantummethod.org.bd,চট্টগ্রাম
43,চট্টগ্রাম বিভাগ,সেল,পতেঙ্গা সেল,"হাজী অছিমিয়া সওদাগরের বাড়ি, (৩য় তলা), ২নং মাইলের মাথা, দক্ষিণ মধ্যম হালিশহর, বন্দর, চট্টগ্রাম-৪১০০",+8801815450440,+8801819952792,+8801329746712,patenga@quantummethod.org.bd,চট্টগ্রাম
44,চট্টগ্রাম বিভাগ,সেল,পটিয়া সেল,"নুরু টাওয়ার, (৩য় তলা), খাসমহল রোড, পটিয়া, চট্টগ্রাম-৪৩৭০",+8801846576803,+8801842366693,+8801329746715,patiya@quantummethod.org.bd,চট্টগ্রাম
45,চট্টগ্রাম বিভাগ,সেল,রাঙ্গুনিয়া সেল,"'আকিব এন্ড সাকিব হাউস', ইছাখালী পৌরসভা, কাপ্তাই রোড, রাঙ্গুনিয়া, চট্টগ্রাম-৪৩৬০",+8801817228940,+8801818009335,+8801329746716,rangunia@quantummethod.org.bd,চট্টগ্রাম
46,চট্টগ্রাম বিভাগ,সেল,চট্টগ্রাম বিশ্ববিদ্যালয় সেল,"আল মদিনা মঞ্জিল, (এ-১), রোড#৪, ব্লক#সি, পাহারিকা হাউজিং এস্টেস্ট, দক্ষিণ ক্যাম্পাস, চট্টগ্রাম বিশ্ববিদ্যালয়, হাটহাজারী, চট্টগ্রাম-৪৩৩১",+8801879626526,+8801833319265,+8801329746719,cuqms@quantummethod.org.bd,চট্টগ্রাম
47,কক্সবাজার,সেল,কক্সবাজার সেল,"আলমগীর ম্যানশন, (চতুর্থ তলা), এডভোকেট ফিরোজ আহমেদ সড়ক, লালদীঘি, কক্সবাজার-৪৭০০",+8801306257575,+8801329746726,,coxs_bazar@quantummethod.org.bd,কক্সবাজার
48,বান্দরবান,সেল,বান্দরবান সেল,"ত্রিরত্ন কমপ্লেক্স, (৪র্থ তলা), বান্দরবান সদর, বান্দরবান-৪৬০০",+8801712737371,+8801965983181,+8801329746724,bandarban@quantummethod.org.bd,বান্দরবান
49,বান্দরবান,সেল,কোয়ান্টামম লামা,"বোধিছড়া, কেয়াজুপাড়া, সরই, লামা, বান্দরবান-৩২৭৪",+8801313486520,+8801601486521,+8801714094271,quantumom@quantummethod.org.bd,বান্দরবান
50,খাগড়াছড়ি,সেল,খাগড়াছড়ি সেল,"চৌধুরী টাওয়ার, (২য় তলা), চাইহ্লাউ পাড়া, পানখাইয়া পাড়া রোড, সদর, খাগড়াছড়ি-৪৪০০",+8801553751497,+8801329746723,,khagrachari@quantummethod.org.bd,খাগড়াছড়ি
51,ফেনী,শাখা,ফেনী শাখা,"২৭৫, কুসুম লজ, (২য় তলা), ডাক্তার পাড়া, ফেনী-৩৯০০",+8801817732062,+8801716322445,+8801329746721,feni@quantummethod.org.bd,ফেনী
52,কুমিল্লা,শাখা,কুমিল্লা শাখা,"৪৯৬, নজরুল এভিনিউ, কান্দিরপাড়, কুমিল্লা-৩৫০০",+8801740908378,+8808161383,+8801329746720,comilla@quantummethod.org.bd,কুমিল্লা
53,ব্রাহ্মণবাড়িয়া,সেল,ব্রাহ্মণবাড়িয়া সেল,"কাজী ম্যানশন, (২য় তলা), কে.দাস মোড়, নিউ মার্কেট রোড, ব্রাহ্মণবাড়িয়া-৩৪০০",+8801842422025,+8801726211477,+8801329746722,brahmanbaria@quantummethod.org.bd,ব্রাহ্মণবাড়িয়া
54,সিলেট বিভাগ,সেন্টার,সিলেট সেন্টার,"'নেহার গার্ডেন', স্বপ্নীল#৫২, (২য় তলা) রামের দিঘীর পাড়, মির্জাজাঙ্গাল, সিলেট-৩১০০",+8801713301522,+8801759565696,+8801329746681,sylhet@quantummethod.org.bd,সিলেট
55,সিলেট বিভাগ,শাখা,আম্বরখানা শাখা,"৬/৩, দিগন্ত, (৩য় তলা), ইলেক্ট্রিক সাপ্লাই রোড, আম্বরখানা, সিলেট-৩১০০",+8801777611588,+8801670597471,+8801715774817,amberkhana@quantummethod.org.bd,সিলেট
56,সিলেট বিভাগ,শাখা,বাগবাড়ি-জিন্দাবাজার শাখা,"এইচ এম কর্পোরেশন, (২য় তলা), বর্ণমালা পয়েন্ট, বাগবাড়ি, সিলেট-৩১০০",+8801749578000,+8801711364122,+8801710705553,bagbari_zindabazar@quantummethod.org.bd,সিলেট
57,সিলেট বিভাগ,শাখা,শাহজালাল উপশহর শাখা,"বাসা#৭, (২য় তলা), রোড#৩৭, ব্লক#সি, উপশহর, সিলেট-৩১০০",+8801730449900,+8801770336646,+8801329746682,uposhahar@quantummethod.org.bd,সিলেট
58,সিলেট বিভাগ,সেল,দক্ষিণ সুরমা সেল,"মাসুদ এন্ড মাহমুদ কমপ্লেক্স, (২য় তলা), ফেঞ্চুগঞ্জ রোড, কদমতলী, সিলেট-৩১১৭",+8801777611667,+8801712640969,+8801329746686,south-surma@quantummethod.org.bd,সিলেট
59,সিলেট বিভাগ,সেল,শাহজালাল বিশ্ববিদ্যালয় সেল,"শাহ কামাল ভিলা, সুনামগঞ্জ রোড, সিলেট-৩১১৪",+8801751355508,+8801920252025,+8801329746692,sust@quantummethod.org.bd,সিলেট
60,সুনামগঞ্জ,শাখা,সুনামগঞ্জ শাখা,"অনাবিল, ৫৬/১, আ/এ, মদিনা ম্যানশন, উকিল পাড়া, সুনামগঞ্জ-৩০০০",+8801712509572,+8801748996117,+8801329746688,sunamganj@quantummethod.org.bd,সুনামগঞ্জ
61,মৌলভীবাজার,সেল,মৌলভীবাজার সেল,"আলোর মেলা, শমসের নগর রোড, শেখ সোনাবান বিবি সড়ক, সৈয়ারপুর, মৌলভীবাজার-৩২০০",+8801770626367,+8801329746687,,moulvibazar@quantummethod.org.bd,মৌলভীবাজার
62,হবিগঞ্জ,শাখা,হবিগঞ্জ শাখা,"হবিগঞ্জ রিজেন্সি, (৩য় তলা), কালী বাড়ি রোড, হবিগঞ্জ-৩৩০০",+8801937635142,+88083163123,+8801329746685,habigonj@quantummethod.org.bd,হবিগঞ্জ
63,খুলনা বিভাগ,শাখা,খুলনা শাখা,"১৯/পি, শিরিশনগর, আকবরাবাদ এস্টেট, খানজাহান আলী রোড, খুলনা-৯১০০",+8801740939999,+8801923995511,+8801329746674,khulna@quantummethod.org.bd,খুলনা
64,খুলনা বিভাগ,সেল,খালিশপুর সেল,"হাউজ#২৯, (নিচতলা), রোড#১৫, সেন্ট্রাল ব্লক, হাউজিং স্টেট, খালিশপুর, খুলনা-৯০০০",+8801711823459,+8801717528300,+8801777755166,khalishpur@quantummethod.org.bd,খুলনা
65,খুলনা বিভাগ,সেল,বয়রা সেল,"বাড়ি#৮৩, ছোট বয়রা মার্কেট রোড, খুলনা-৯১০০",+8801716423441,+8801937763139,,boyra@quantummethod.org.bd,খুলনা
66,যশোর,শাখা,যশোর শাখা,"৯, আচার্য প্রফুল্ল চন্দ্র রোড, লোন অফিস পাড়া, যশোর-৭৪০০",+8801917419301,+88042151398,+8801619286577,jessore@quantummethod.org.bd,যশোর
67,সাতক্ষীরা,সেল,সাতক্ষীরা সেল,"ব্যাংকার্স কলোনি, সরকারী কলেজ রোড, মুনজিতপুর, সাতক্ষীরা-৯৪০০",+8801710070909,+8801925228476,+8801329746675,satkhira@quantummethod.org.bd,সাতক্ষীরা
68,রাজশাহী বিভাগ,সেন্টার,রাজশাহী সেন্টার,"৫৩৪, শেরশাহ রোড, লক্ষ্মীপুর, রাজশাহী-৬০০০",+8801914999446,+8802588852953,+8802588860509,rajshahi@quantummethod.org.bd,রাজশাহী
69,রাজশাহী বিভাগ,সেল,পদ্মা আবাসিক সেল,"রোড#৮, বাড়ি#৩৫৮, পদ্মা আবাসিক, রাজশাহী-৬২০৭",+8801844467488,+8802588863837,+8801810141090,padmaabasik@quantummethod.org.bd,রাজশাহী
70,রাজশাহী বিভাগ,সেল,রাজশাহী বিশ্ববিদ্যালয় সেল,"৯৮-৯৯, স্টেডিয়াম মার্কেট, রাজশাহী বিশ্ববিদ্যালয়, রাজশাহী-৬২০৫",+8801723101007,+8801329746662,,tuser@quantummethod.org.bd,রাজশাহী
71,বগুড়া,শাখা,বগুড়া শাখা,"সেন্ট্রাল স্কুল লেন, সূত্রাপুর, বগুড়া-৫৮০০",+8801782047178,+8805167754,+8801329746664,bogra@quantummethod.org.bd,বগুড়া
72,নওগাঁ,শাখা,নওগাঁ শাখা,"কে.ডি.-এর মোড়, নওগাঁ-৬৫০০",+8801738138949,+8801329746672,,naogaon@quantummethod.org.bd,নওগাঁ
73,নাটোর,সেল,নাটোর সেল,"আহসান হাবীব টগর উকিলের বাসা, ভবানিগঞ্জ মোড়, বলারিপাড়া, নাটোর-৬৪০০",+8801705872791,+8801329746663,,natore@quantummethod.org.bd,নাটোর
74,কুষ্টিয়া,সেল,কুষ্টিয়া সেল,"৩১/১, পূর্ণচন্দ্র লাহিড়ী লেন, গোশালা রোড, কোর্টপাড়া, কুষ্টিয়া-৭০০০",+8801776505160,+8801711578006,+8801943181031,kushtia@quantummethod.org.bd,কুষ্টিয়া
75,পাবনা,সেল,পাবনা সেল,"সালেহা মঞ্জিল, কোয়ান্টাম নগর, মক্তবমোড়, পাবনা-৬৬০০",+8801745444005,+8801329746671,,pabna@quantummethod.org.bd,পাবনা
76,ময়মনসিংহ,শাখা,ময়মনসিংহ শাখা,"মুমিনুন্নেসা এক্সেল টাওয়ার, ২য় তলা, ফ্ল্যাট#১(ই জি), ৮নং মনমোহন নিয়োগী রোড, পন্ডিত পাড়া, ময়মনসিংহ-২২০০",+8801912723095,+88021312095,+8802996662118,mymensingh@quantummethod.org.bd,ময়মনসিংহ
77,জামালপুর,সেল,জামালপুর সেল,"আকলিমন মঞ্জিল, গোলাপবাগ, জামালপুর-২০০০",+8801757981272,+8801914412714,+8801329746694,jamalpur@quantummethod.org.bd,জামালপুর
78,কিশোরগঞ্জ,সেল,কিশোরগঞ্জ সেল,"'বায়তুন নিলুফার', ১০৯৩, খরমপট্টি, কিশোরগঞ্জ-২৩০০",+8801716137151,+8801913708309,+8801329746696,quantumkishoreganj@gmail.com,কিশোরগঞ্জ
79,গোপালগঞ্জ,শাখা,গোপালগঞ্জ শাখা,"৯৬, ডিসি রোড, গোপালগঞ্জ-৮১০০",+8801712918662,+8801911023607,+8801329746676,gopalgonj@quantummethod.org.bd,গোপালগঞ্জ
80,রংপুর,শাখা,রংপুর শাখা,"বাসা নং#১, রোড নং#৪, রাধাবল্লভ, রংপুর-৫৪০০",+8801783015101,+88052155094,+8801329746667,rangpur@quantummethod.org.bd,রংপুর
81,দিনাজপুর,শাখা,দিনাজপুর শাখা,"৮৫৮/১, বুটি বাবুর মোড়, দক্ষিণ মুন্সিপাড়া, দিনাজপুর-৫২০০",+8801329746668,,,dinajpur@quantummethod.org.bd,দিনাজপুর
82,গাইবান্ধা,সেল,গাইবান্ধা সেল,"ইতি প্লাজা, (৩য় তলা), ডিবি রোড, গাইবান্ধা-৫৭০০",+8801312680766,+8801329746669,,gaibandha@quantummethod.org.bd,গাইবান্ধা
83,জয়পুরহাট,সেল,জয়পুরহাট সেল,"হাজী মাদ্রাসা রোড, জয়পুরহাট-৫৯০০",+8801739041300,+8801712910955,+8801329746670,joypurhat@quantummethod.org.bd,জয়পুরহাট
84,আন্তর্জাতিক,USA,Quantum Meditation Society Bronx New York,"2099, Starling Ave, Bronx, New York, USA",+16463793563,,,bronx@quantummethod.org.bd,USA
85,আন্তর্জাতিক,USA,Quantum Meditation Society New York,"86-47 164th Street, Suite#BE, Jamaica, NY 11432",+15167611614,,,info@qms-usa.org,USA
86,আন্তর্জাতিক,USA,Quantum Meditation Society Pennsylvania,"211, Barrington Rd, Upper Darby, PA 19082",+12159008226,,,primeshahalam@yahoo.com,USA
87,আন্তর্জাতিক,USA,Quantum Meditation Society Queens New York,"168 07, Highland Avenue, Jamaica hill, NY 11432",+16467278978,+14168713842,,queens_ny@quantummethod.org.bd,USA
88,আন্তর্জাতিক,Canada,Quantum Meditation Society Ottawa,"6337, Renaud Road, Ottawa, ON K1W 0J4",+16132631929,,,ottawa_gatineau@quantummethod.org.bd,Canada
89,আন্তর্জাতিক,Canada,Quantum Meditation Society Toronto,"100 Minerva Ave, Scarborough, ON. M1M1V7",+16477402800,,,toronto@quantummethod.org.bd,Canada
90,আন্তর্জাতিক,UK,Quantum Meditation Society London,"66 Hanbury Street, London E1 5JL, United Kingdom",+442034322672,,,info@quantumlondon.org.uk,UK
91,আন্তর্জাতিক,Australia,Quantum Meditation Society Melbourne,"260-280 Hogans Rd, Hoppers Crossing VIC 3029, Australia",+61435819946,,,melbourne@quantummethod.org.bd,Australia
92,আন্তর্জাতিক,Australia,Quantum Meditation Society Sydney,"Sommerville Room, 1 Susan St, Auburn, NSW 2144, Australia",+61451916516,,,sydney@quantummethod.org.bd,Australia
93,আন্তর্জাতিক,Germany,Quantum Meditation Society Heidelberg,"Im Neuenheimer Feld 681, 69120 Heidelberg",+4915753229398,,,heidelberg@quantummethod.org.bd,Germany
94,আন্তর্জাতিক,France,Quantum Meditation Society Paris,"Studio Bleu, 7/9 Rue des Petites Ecuries, 75010 Paris, France",+33758563477,,,paris@quantummethod.org.bd,France
95,আন্তর্জাতিক,UAE,Quantum Meditation Society Abu Dhabi,"Abudhabi, UAE",+971502281568,,,abudhabi@quantummethod.org.bd,UAE
96,আন্তর্জাতিক,Malaysia,Quantum Meditation Society Kuala Lumpur,"Unit 55, Level 11, Leisure Commerce Square, Jalan PSJ 8/9, Bandar Sunway, Selangor, Malaysia",+60173903236,,,malaysia@quantummethod.org.bd,Malaysia
97,গাজীপুর,শাখা,গাজীপুর শাখা,"'নার্গিস ভিলা', ২য় তলা, চান্দনা চৌরাস্তা, গাজীপুর-১৭০০",+8801799355655,+8801886652025,+8801329746650,gazipur@quantummethod.org.bd,গাজীপুর
98,গাজীপুর,কার্যালয়,গাজীপুর সদর কার্যালয়,"এম. এইচ. কটেজ, জি-১৫৮/৪, রাজদীঘির পশ্চিম পাড়, গাজীপুর সদর, গাজীপুর-১৭০০",+8801886652025,+8801799355655,+8801329746651,gazipur_sadar@quantummethod.org.bd,গাজীপুর
99,গাজীপুর,সেল,গাজীপুর বোর্ড বাজার সেল,"'হাজী বাড়ি', শহীদ সিদ্দিক সড়ক, খাইলকুর, বোর্ড বাজার, গাজীপুর-১৭০৪",+8801743913511,+8801817573026,+8801329746652,gazipur_boardbazar@quantummethod.org.bd,গাজীপুর
100,গাজীপুর,সেল,টঙ্গী সেল,"৩, মধুমিতা রোড, টঙ্গী, গাজীপুর-১৭১০",+8801713019730,+8801329746653,,gazipur_tongi@quantummethod.org.bd,গাজীপুর
101,নারায়ণগঞ্জ,শাখা,নারায়ণগঞ্জ শাখা,"১৩৫, এ, কে. এম. সামসুজ্জোহা রোড, (২য় তলা), উত্তর চাষাড়া, নারায়ণগঞ্জ-১৪০০",+8801329746659,+880247650884,+8801345726597,narayanganj@quantummethod.org.bd,নারায়ণগঞ্জ
102,নরসিংদী,শাখা,নরসিংদী শাখা,"বাড়ি#৯২/৩, নিচতলা, পশ্চিম ব্রাহ্মন্দী, কলেজ রোড, সদর, নরসিংদী-১৬০০",+8801717357663,+8801646746035,+8801329746697,narsingdi@quantummethod.org.bd,নরসিংদী
103,সাভার,সেল,সাভার সেল,"৬৭/১, ব্লক#বি, (নিচতলা), সোবহানবাগ, সাভার, ঢাকা-১৩৪০",+8801713123556,+8801818356657,+8801329746635,savar@quantummethod.org.bd,সাভার
104,সোনারগাঁ,সেল,সোনারগাঁ সেল,"ইসলাম ভিলা, দৈলের বাগ, সোনারগাঁ থানা রোড, সোনারগাঁ পৌরসভা, সোনারগাঁ-১৪৪০",+8801818107661,+8801623296558,+8801329746673,sonargaon@quantummethod.org.bd,নারায়ণগঞ্জ
